Mod:Item:MetaData, Localized Name
minecraft:air, Воздух
minecraft:stone:0, Камень
minecraft:stone:1, Гранит
minecraft:stone:2, Гладкий гранит
minecraft:stone:3, Диорит
minecraft:stone:4, Гладкий диорит
minecraft:stone:5, Андезит
minecraft:stone:6, Гладкий андезит
minecraft:grass, Дёрн
minecraft:dirt:0, Земля
minecraft:dirt:1, Каменистая земля
minecraft:dirt:2, Подзол
minecraft:cobblestone, Булыжник
minecraft:planks:0, Дубовые доски
minecraft:planks:1, Еловые доски
minecraft:planks:2, Берёзовые доски
minecraft:planks:3, Доски из тропического дерева
minecraft:planks:4, Акациевые доски
minecraft:planks:5, Доски из тёмного дуба
minecraft:sapling:0, Саженец дуба
minecraft:sapling:1, Еловый саженец
minecraft:sapling:2, Саженец берёзы
minecraft:sapling:3, Саженец тропического дерева
minecraft:sapling:4, Саженец акации
minecraft:sapling:5, Саженец тёмного дуба
minecraft:bedrock, Бедрок
minecraft:sand:0, Песок
minecraft:sand:1, Красный песок
minecraft:gravel, Гравий
minecraft:gold_ore, Золотая руда
minecraft:iron_ore, Железная руда
minecraft:coal_ore, Каменный уголь
minecraft:log:0, Дуб
minecraft:log:1, Ель
minecraft:log:2, Берёза
minecraft:log:3, Тропическое дерево
minecraft:leaves:0, Дубовые листья
minecraft:leaves:1, Хвоя
minecraft:leaves:2, Берёзовые листья
minecraft:leaves:3, Листья тропического дерева
minecraft:sponge:0, Губка
minecraft:sponge:1, Мокрая губка
minecraft:glass, Стекло
minecraft:lapis_ore, Лазуритовая руда
minecraft:lapis_block, Лазуритовый блок
minecraft:dispenser, Раздатчик
minecraft:sandstone:0, Песчаник
minecraft:sandstone:1, Резной песчаник
minecraft:sandstone:2, Гладкий песчаник
minecraft:noteblock, Нотный блок
minecraft:golden_rail, Энергорельсы
minecraft:detector_rail, Рельсы с датчиком
minecraft:sticky_piston, Липкий поршень
minecraft:web, Паутина
minecraft:tallgrass:1, Трава
minecraft:tallgrass:2, Папоротник
minecraft:deadbush, Мёртвый куст
minecraft:piston, Поршень
minecraft:wool:0, Белая шерсть
minecraft:wool:1, Оранжевая шерсть
minecraft:wool:2, Пурпурная шерсть
minecraft:wool:3, Голубая шерсть
minecraft:wool:4, Жёлтая шерсть
minecraft:wool:5, Лаймовая шерсть
minecraft:wool:6, Розовая шерсть
minecraft:wool:7, Серая шерсть
minecraft:wool:8, Светло-серая шерсть
minecraft:wool:9, Бирюзовая шерсть
minecraft:wool:10, Фиолетовая шерсть
minecraft:wool:11, Синяя шерсть
minecraft:wool:12, Коричневая шерсть
minecraft:wool:13, Зелёная шерсть
minecraft:wool:14, Красная шерсть
minecraft:wool:15, Чёрная шерсть
minecraft:yellow_flower:0, Одуванчик
minecraft:red_flower:0, Мак
minecraft:red_flower:1, Синяя орхидея
minecraft:red_flower:2, Лук-батун
minecraft:red_flower:3, Голубой василёк
minecraft:red_flower:4, Красный тюльпан
